x,y,site_id,order
407000,7274250,g10,1
406000,7274250,g5,2
406000,7275250,g6,3
407000,7275250,g11,4
408000,7275250,g17,5
408000,7276250,g18,6
407000,7276250,g12,7
406000,7276250,g7,8
406000,7277250,g8,9
405000,7277250,g3,10
404000,7277250,g2,11
405000,7278250,g4,12
406000,7278250,g9,13
407000,7278250,g14,14
407000,7279250,g15,15
408000,7278250,g20,16
407000,7277250,g13,17
408000,7277250,g19,18
409000,7278250,g27,20
410000,7278250,g32,21
410500,7279250,g36,22
410500,7280250,g37,23
410500,7281250,g38,24
409000,7277250,g26,25
409000,7276250,g25,26
410000,7276250,g30,27
410000,7275250,g29,28
409000,7275250,g24,29
409000,7274250,g23,30
409000,7273250,g22,31
408000,7273250,g16,32
